model,precision,recall,f1,roc_auc,pr_auc
RF Graph,0.9546055531070956,0.5240745221388822,0.676663542642924,0.9582151926190512,0.805092243941509
RF Graph + Ontology,0.9469827586206897,0.5315751270263731,0.6809236014256935,0.958373214334711,0.8014270027910448
RF Baseline,0.9694541812719079,0.4684248729736269,0.6316476345840131,0.9560406949304141,0.7946766888200476
XGB Graph + Ontology,0.1643060987210654,0.7522380837164288,0.2697028844068532,0.8958177619805006,0.4603168157925799
XGB Graph,0.16464903897207178,0.7503024437454634,0.27003962206644316,0.8958686367467916,0.4597129633357413
XGB Baseline,0.1459578637922587,0.7207839341882409,0.24275760909424277,0.8722323413320008,0.3953549220809423
NN Graph + Ontology,0.08807552541864909,0.5688361964674571,0.1525335755531045,0.7409774196388592,0.17738699022242088
NN Graph,0.09000271559917757,0.5613355915799662,0.15513206285523237,0.7378609490632988,0.1427902077732504
NN Baseline,0.08227302135001079,0.5538349866924752,0.14326396495071195,0.6985627034678854,0.08554721416421063
